0000000723,scans,0000000104,DataLength
"header",0000000025,"lines"
"Date",6/9/2016,"Time",2:04:36 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",6
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,10.000,10.000,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,11.000,10.000,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",18.00,18.00,0.01,11.000,10.000,0.900000,1.000000,
"Scan 4","RGA","SEM","mass",28.00,28.00,0.01,11.000,10.000,1.050000,1.000000,
"Scan 5","RGA","SEM","mass",32.00,32.00,0.01,11.000,10.000,0.860000,1.000000,
"Scan 6","RGA","SEM","mass",44.00,44.00,0.01,11.000,10.000,1.400000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",6
"Time","ms","Temperature","Hydrogen","Water","Carbon monoxide","Oxygen","Carbon dioxide",
00:00:49,     49793,   120.5103,  6.21789e-09,  2.06280e-09,  4.93271e-09,  2.61374e-09,  2.37344e-09,
00:00:50,     50208,   120.1137,  6.88489e-09,  2.49758e-09,  4.65424e-09,  2.27250e-09,  2.16382e-09,
00:00:50,     50623,   120.3781,  6.22034e-09,  2.60628e-09,  4.56107e-09,  2.84124e-09,  2.51319e-09,
00:00:51,     51038,   120.5103,  5.99800e-09,  2.60628e-09,  4.37473e-09,  2.50000e-09,  2.09394e-09,
00:00:51,     51453,   120.3781,  6.44023e-09,  2.17150e-09,  4.65424e-09,  2.38624e-09,  2.30357e-09,
00:00:51,     51868,   120.2459,  5.33102e-09,  2.49758e-09,  4.83954e-09,  2.38624e-09,  2.02407e-09,
00:00:52,     52283,   120.2459,  6.22034e-09,  2.49758e-09,  4.83954e-09,  2.27250e-09,  2.23369e-09,
00:00:52,     52698,   120.3781,  6.44023e-09,  2.38889e-09,  4.46790e-09,  2.72750e-09,  2.16382e-09,
00:00:53,     53113,   120.3781,  6.22034e-09,  2.60628e-09,  4.46790e-09,  2.15874e-09,  2.09394e-09,
00:00:53,     53528,   120.2459,  5.99800e-09,  2.49758e-09,  4.74638e-09,  2.50000e-09,  2.23369e-09,
00:00:53,     53943,   120.1137,  5.99800e-09,  2.60628e-09,  4.56107e-09,  2.15874e-09,  2.23369e-09,
